Name,Old_Price,Special_Price,Save,Material,Cleaning_Process,Pattern,Pile_height,Weight,Origin,Type,Product_Reviews,_id
Da Vinci 057-0221-6424  Beige Bordered Traditional Rug by Mastercraft,100.8,76.12,Save 24,"Polyester , Heatset Polypropylene",Easy to clean,"Bordered , Floral",11.0,2950,,Traditional,,6706304df386a3a7f26260be
Luxury Faux Fur Blush Plain Shaggy Rug by Oriental Weavers,26.99,24.32,Save 10,Polyester,Easy to clean,Plain,30.0,1100,Turkey,"Modern , Shaggy",,6706304df386a3a7f26260bf
Avery Damask Grey Abstract Modern Rug By Oriental Weavers,56.99,50.4,Save 12,"Polyester , Polypropylene",Easy to clean,Abstract,8.0,1700,Turkey,Modern,,6706304df386a3a7f26260c0
Abstract D176A Square Grey Geometric Modern Rug By Oriental Weavers,59.99,53.16,Save 11,"Polyester , Polypropylene",Easy to clean,"Abstract , Geometric",9.0,1700,Turkey,Modern,,6706304df386a3a7f26260c1
Abstract D149A Burst Grey Modern Rug By Oriental Weavers,59.99,53.16,Save 11,"Polyester , Polypropylene",Easy to clean,Abstract,9.0,1700,Turkey,Modern,,6706304df386a3a7f26260c2
Stellar Checker Natural Geometric Handwoven Wool Rug by Oriental Weavers,129.99,109.96,Save 15,"Wool , Others",Easy to clean,Geometric,10.0,3500,India,"Handmade , Modern , Wool",,6706304df386a3a7f26260c3
Zoe Deco Natural 3D Abstract Modern Rug by Oriental Weavers,54.99,48.76,Save 11,"Acrylic , Heatset Polypropylene",Easy to clean,"Abstract , Optical/ (3D)",8.0,1500,Egypt,Modern,,6706304df386a3a7f26260c4
Avery Marble Grey Abstract Modern Rug By Oriental Weavers,56.99,50.4,Save 12,"Polyester , Polypropylene",Easy to clean,Abstract,8.0,1700,Turkey,Modern,,6706304df386a3a7f26260c5
Abstract D176F Square Ochre Geometric Modern Rug By Oriental Weavers,59.99,53.16,Save 11,"Polyester , Polypropylene",Easy to clean,"Abstract , Geometric",9.0,1700,Turkey,Modern,,6706304df386a3a7f26260c6
Zoe Arcs Natural 3D Abstract Modern Rug by Oriental Weavers,54.99,48.76,Save 11,"Acrylic , Heatset Polypropylene",Easy to clean,"Abstract , Optical/ (3D)",8.0,1500,Egypt,Modern,,6706304df386a3a7f26260c7
Serenity Charcoal Traditional Kilim Handwoven Rug by Oriental Weavers,109.99,93.64,Save 15,"Natural Fibers , Cotton , Wool",Easy to clean,Abstract,,1900,India,"Handmade , Kilim , Traditional",,6706304df386a3a7f26260c8
Galleria 063-0935-9210 Pink Abstract Modern Rug By Mastercraft,166.8,125.96,Save 24,Polypropylene,Easy to clean,Abstract,11.0,3050,,Modern,,6706304df386a3a7f26260c9
Galleria 063-0899-8270 Multi Abstract Modern Rug By Mastercraft,100.8,76.12,Save 24,Polypropylene,Easy to clean,Abstract,11.0,3050,,Modern,,6706304df386a3a7f26260ca
Zoe Illusion Blue 3D Abstract Modern Rug by Oriental Weavers,54.99,48.76,Save 11,"Acrylic , Heatset Polypropylene",Easy to clean,"Abstract , Optical/ (3D)",8.0,1500,Egypt,Modern,,6706304df386a3a7f26260cb
Galleria 063-0892-4240 Multi Stripe Modern Rug By Mastercraft,100.8,76.12,Save 24,Polypropylene,Easy to clean,Striped,11.0,3050,,Modern,,6706304df386a3a7f26260cc
Alia 893GL Anthra Rose Bordered Traditional Rug by Prestige,104.5,75.0,Save 28,Polypropylene,Easy to clean,"Abstract , Bordered",,,,Traditional,,6706304df386a3a7f26260cd
Alia 887AJ Cream Rose Abstract Traditional Rug by Prestige,71.5,52.0,Save 27,Polypropylene,Easy to clean,Abstract,,,,Traditional,,6706304ef386a3a7f26260ce
Alia 860GL Anthra Rose Bordered Traditional Rug by Prestige,71.5,52.0,Save 27,Polypropylene,Easy to clean,"Abstract , Bordered",,,,Traditional,,6706304ef386a3a7f26260cf
Alia 860GC Beige Rose Bordered Traditional Rug by Prestige,71.5,52.0,Save 27,Polypropylene,Easy to clean,"Abstract , Bordered",,,,Traditional,,6706304ef386a3a7f26260d0
Alia 842GC Beige Rose Bordered Traditional Rug by Prestige,71.5,51.0,Save 29,Polypropylene,Easy to clean,"Abstract , Bordered",,,,Traditional,,6706304ef386a3a7f26260d1
Alia 893GC Beige Light Brown Abstract Traditional Rug by Prestige,71.5,52.0,Save 27,Polypropylene,Easy to clean,Abstract,,,,Traditional,,6706304ef386a3a7f26260d2
Alia 878AL Anthra Rose Bordered Traditional Rug by Prestige,71.5,52.0,Save 27,Polypropylene,Easy to clean,"Abstract , Bordered",,,,Traditional,,6706304ef386a3a7f26260d3
Alia 697GL Anthra Cream Bordered Traditional Rug by Prestige,104.5,76.0,Save 27,Polypropylene,Easy to clean,"Abstract , Bordered",,,,Traditional,,6706304ef386a3a7f26260d4
Alia 842G5 Anthra Grey Bordered Traditional Rug by Prestige,71.5,52.0,Save 27,Polypropylene,Easy to clean,"Abstract , Bordered",,,,Traditional,,6706304ef386a3a7f26260d5
Elegance Grey Striped Handwoven Rug by Oriental Weavers,120.58,96.46,Save 20,"Polyester , Wool , Recycled Material",Easy to clean,Striped,15.0,3200,India,"Handmade , Modern , Wool",,6706304ef386a3a7f26260d6
Alia 842GL Anthra Rose Bordered Traditional Rug by Prestige,104.5,76.0,Save 27,Polypropylene,Easy to clean,"Abstract , Bordered",,,,Traditional,,6706304ef386a3a7f26260d7
Elegance Charcoal Striped Handwoven Rug by Oriental Weavers,120.58,96.46,Save 20,"Polyester , Wool , Recycled Material",Easy to clean,Striped,15.0,3200,India,"Handmade , Modern , Wool",,6706304ef386a3a7f26260d8
Alia 842G2 Beige Grey Bordered Traditional Rug by Prestige,104.5,76.0,Save 27,Polypropylene,Easy to clean,"Abstract , Bordered",,,,Traditional,,6706304ef386a3a7f26260d9
Mehari 023-0500-6248 Cream Shaggy Polypropylene Rug by Mastercraft,76.8,58.3,Save 24,Polypropylene,Easy to clean,Plain,25.0,3200,Belgium,"Modern , Plain , Shaggy",,6706304ef386a3a7f26260da
Nourison Exhale EXL03 Multi Modern Abstract Polypropylene Rug,75.0,60.0,Save 20,"Polyester , Polypropylene",Professional Cleaning,Abstract,8.0,,Turkey,Modern,,6706304ef386a3a7f26260db
Nourison Exhale EXL02 Mocha Ivory Modern Abstract Polypropylene Rug,75.0,60.0,Save 20,"Polyester , Polypropylene",Professional Cleaning,Abstract,8.0,,Turkey,Modern,,6706304ef386a3a7f26260dc
Chequers Multicolored Geometric Handwoven Rug by Oriental Weavers,226.53,158.99,Save 30,"Cotton , Wool",Easy to clean,"Chequered , Geometric",11.0,3200,India,"Handmade , Modern , Wool",,6706304ef386a3a7f26260dd
Nourison Exhale  EXL02 Ivory Grey Modern Abstract Polypropylene Rug,75.0,60.0,Save 20,"Polyester , Polypropylene",Professional Cleaning,Abstract,8.0,,Turkey,Modern,,6706304ef386a3a7f26260de
Mehari 023-0264-6474  Ivory Shaggy Stripes Polypropylene Rug by Mastercraft,163.2,123.2,Save 25,Polypropylene,Easy to clean,Plain,25.0,,,"Modern , Plain , Shaggy , Striped",,6706304ef386a3a7f26260df
Nourison Exhale EXL01 Light Grey Modern Abstract Polypropylene Rug,75.0,60.0,Save 20,"Polyester , Polypropylene",Professional Cleaning,Abstract,8.0,,Turkey,"Luxurious , Modern",,6706304ff386a3a7f26260e0
Nourison Exhale EXL02 Beige Blue Modern Abstract Polypropylene Rug,75.0,60.0,Save 20,"Polyester , Polypropylene",Professional Cleaning,Abstract,8.0,,Turkey,Modern,,6706304ff386a3a7f26260e1
Kashqai 4378 300 Red Traditional Bokhara Wool Rug by Mastercraft,206.4,156.54,Save 24,Wool,Easy to clean,"Bordered , Floral",8.5,2700,Belgium,"Traditional , Wool",,6706304ff386a3a7f26260e2
Nourison Exhale EXL02 Navy Ivory Modern Abstract Polypropylene Rug,75.0,60.0,Save 20,"Polyester , Polypropylene",Professional Cleaning,Abstract,8.0,,Turkey,Modern,,6706304ff386a3a7f26260e3
Mehari 023 0245 6464 Multi Geometric Rug by Mastercraft,76.8,58.3,Save 24,Polypropylene,Easy to clean,"Chequered , Geometric",25.0,3200,Belgium,Modern,,6706304ff386a3a7f26260e4
Asiatic Jasper 05 Red Traditional Floral Antique Polyester Rug,,,,Polyester,Easy to clean,"Bordered , Floral",,,Turkey,Traditional,,6706304ff386a3a7f26260e5
Asiatic Jasper 06 Yellow Gold Traditional Floral Antique Polyester Rug,,,,Polyester,Easy to clean,"Bordered , Floral",,,Turkey,Traditional,,6706304ff386a3a7f26260e6
Asiatic Jasper 03 Beige Traditional Floral Antique Polyester Rug,,,,Polyester,Easy to clean,"Bordered , Floral",,,Turkey,Traditional,,6706304ff386a3a7f26260e7
Asiatic Jasper 02 Beige Natural Traditional Floral Antique Polyester Rug,,,,Polyester,Easy to clean,"Bordered , Floral",,,Turkey,Traditional,,6706304ff386a3a7f26260e8
Asiatic Jasper 01 Blue Traditional Floral Antique Polyester Rug,,,,Polyester,Easy to clean,"Bordered , Floral",,,Turkey,Traditional,,6706304ff386a3a7f26260e9
Asiatic Freja Method Grey Geometric Modern Polypropylene Rug,,,,Polypropylene,Easy to clean,Geometric,,,Turkey,Modern,,6706304ff386a3a7f26260ea
Asiatic Jasper 04 Grey Silver Traditional Floral Antique Polyester Rug,,,,Polyester,Easy to clean,"Bordered , Floral",,,Turkey,Traditional,,6706304ff386a3a7f26260eb
Asiatic Freja Method Sand Geometric Modern Polypropylene Rug,,,,Polypropylene,Easy to clean,Geometric,,,Turkey,Modern,,6706304ff386a3a7f26260ec
Asiatic Freja Cove Grey Geometric Modern Polypropylene Rug,,,,Polypropylene,Easy to clean,Geometric,,,Turkey,Modern,,6706304ff386a3a7f26260ed
Asiatic Stellar ST02 Beige Natural Modern Abstract Polypropylene Rug,,,,"Polyester , Polypropylene",Easy to clean,Abstract,,,Turkey,"Luxurious , Modern",,6706304ff386a3a7f26260ee
Asiatic Freja Method Ivory Geometric Modern Polypropylene Rug,,,,Polyester,Easy to clean,Geometric,,,Turkey,Modern,,6706304ff386a3a7f26260ef
Asiatic Stellar ST03 Beige Natural Modern Abstract Polypropylene Rug,,,,"Polyester , Polypropylene",Easy to clean,Abstract,,,Turkey,"Luxurious , Modern",,6706304ff386a3a7f26260f0
Asiatic Oakley Charcoal Striped Handwoven Cotton Backing Jute Rug,209.0,122.4,Save 41,Recycled Material,Easy to clean,"Plain , Striped",,,India,"Handmade , Modern",,6706304ff386a3a7f26260f1
Asiatic Freja Cove Ivory Geometric Modern Polypropylene Rug,,,,Polypropylene,Easy to clean,Geometric,,,Turkey,Modern,,6706304ff386a3a7f26260f2
Asiatic Oakley Straw Striped Handwoven Cotton Backing Jute Rug,209.0,122.4,Save 41,Recycled Material,Easy to clean,"Plain , Striped",,,India,"Handmade , Modern",,6706304ff386a3a7f26260f3
Asiatic Stellar ST01 Beige Natural Modern Abstract Polypropylene Rug,,,,"Polyester , Polypropylene",Easy to clean,Abstract,,,Turkey,"Luxurious , Modern",,6706304ff386a3a7f26260f4
Asiatic Ada Sand Geometric Linear Path Handwoven Wool Rug,139.0,81.6,Save 41,Wool,Easy to clean,Geometric,,,India,"Handmade , Modern , Wool",,6706304ff386a3a7f26260f5
Asiatic Ada Ivory Geometric Linear Path Handwoven Wool Rug,139.0,81.6,Save 41,Wool,Easy to clean,Geometric,,,India,"Handmade , Modern , Wool",,6706304ff386a3a7f26260f6
Asiatic Tova Clay Modern Geometric Robot Tufted Polyester Rug,179.0,106.08,Save 41,Polyester,Easy to clean,Geometric,26.0,,India,Modern,,67063050f386a3a7f26260f7
Asiatic Oakley Blonde Striped Handwoven Cotton Backing Jute Rug,209.0,122.4,Save 41,Recycled Material,Easy to clean,"Plain , Striped",,,India,"Handmade , Modern",,67063050f386a3a7f26260f8
Asiatic Ada Grey Geometric Linear Path Handwoven Wool Rug,139.0,81.6,Save 41,Wool,Easy to clean,Geometric,,,India,"Handmade , Modern , Wool",,67063050f386a3a7f26260f9
Asiatic Tova Moleskin Modern Geometric Robot Tufted Polyester Rug,179.0,106.08,Save 41,Polyester,Easy to clean,Geometric,26.0,,India,Modern,,67063050f386a3a7f26260fa
Asiatic Tova Blue Modern Geometric Robot Tufted Polyester Rug,179.0,106.08,Save 41,Polyester,Easy to clean,Geometric,26.0,,India,Modern,,67063050f386a3a7f26260fb
Asiatic Tova Ochre Modern Geometric Robot Tufted Polyester Rug,179.0,106.08,Save 41,Polyester,Easy to clean,Geometric,26.0,,India,Modern,,67063050f386a3a7f26260fc
Asiatic Infinity 95 Sand Beige Wool Hand Tufted Contemporary Rug,299.0,181.56,Save 39,"Viscose , Wool",Easy to clean,Abstract,1012.0,,India,"Handmade , Luxurious , Modern , Wool",,67063050f386a3a7f26260fd
Asiatic Tova Ivory Modern Geometric Robot Tufted Polyester Rug,179.0,106.08,Save 41,Polyester,Easy to clean,Geometric,26.0,,India,Modern,,67063050f386a3a7f26260fe
Asiatic Romy 14 Jive Red Modern Abstract Hand Tufted PET Rug,209.0,122.4,Save 41,PET,Easy to clean,Abstract,10.0,,India,Modern,,67063050f386a3a7f26260ff
Asiatic Infinity 94 Charcoal Wool Hand Tufted Contemporary Rug,299.0,181.56,Save 39,"Viscose , Wool",Easy to clean,Abstract,1012.0,,India,"Handmade , Luxurious , Modern , Wool",,67063050f386a3a7f2626100
Asiatic Romy 06 Kite Chartreuse Modern Abstract Hand Tufted PET Rug,209.0,122.4,Save 41,PET,Easy to clean,Abstract,10.0,,India,Modern,,67063050f386a3a7f2626101
Asiatic Infinity 93 Sage Green Wool Hand Tufed Contemporary Rug,299.0,181.56,Save 39,"Viscose , Wool",Easy to clean,Abstract,1012.0,,India,"Handmade , Luxurious , Modern , Wool",,67063050f386a3a7f2626102
Asiatic Tova Green Modern Geometric Robot Tufted Polyester Rug,179.0,106.08,Save 41,Polyester,Easy to clean,Geometric,26.0,,India,Modern,,67063050f386a3a7f2626103
Asiatic Romy 15 Jive Green Modern Abstract Hand Tufted PET Rug,209.0,122.4,Save 41,PET,Easy to clean,Abstract,10.0,,India,Modern,,67063050f386a3a7f2626104
Asiatic Romy 05 Kite Orange Modern Abstract Hand Tufted PET Rug,209.0,122.4,Save 41,PET,Easy to clean,Abstract,10.0,,India,Modern,,67063050f386a3a7f2626105
Asiatic Romy 04 Kite Sage Modern Abstract Hand Tufted PET Rug,209.0,122.4,Save 41,PET,Easy to clean,Abstract,10.0,,India,Modern,,67063050f386a3a7f2626106
Asiatic Romy 03 Kite Blue Modern Abstract Hand Tufted PET Rug,209.0,122.4,Save 41,PET,Easy to clean,Abstract,10.0,,India,Modern,,67063050f386a3a7f2626107
Asiatic Blade Border Charcoal Moleskin Plain Contemporary Hand woven Rug,329.0,194.82,Save 41,Viscose,Easy to clean,"Bordered , Plain",7.0,,India,Modern,,67063050f386a3a7f2626108
Asiatic Blade Border Silver Grey Plain Contemporary Hand woven Rug,329.0,194.82,Save 41,Viscose,Easy to clean,"Bordered , Plain",7.0,,India,Modern,,67063051f386a3a7f2626109
Asiatic Avalon Rust Geometric Kilim Handmade Modern Wool Rug,209.0,122.4,Save 41,Wool,Easy to clean,Geometric,4.0,,India,"Handmade , Kilim , Modern , Wool",,67063051f386a3a7f262610a
Asiatic Matrix MAX92 Statement Light Grey Geometric Hand Tufted Wool Rug,299.0,181.56,Save 39,Wool,Easy to clean,"Abstract , Geometric",1214.0,,India,"Handmade , Modern , Wool",,67063051f386a3a7f262610b
Asiatic Blade Border Airforce Navy Plain Contemporary Hand woven Rug,329.0,194.82,Save 41,Viscose,Easy to clean,"Bordered , Plain",7.0,,India,Modern,,67063051f386a3a7f262610c
Asiatic Blade Border Putty Silver Plain Contemporary Hand woven Rug,329.0,194.82,Save 41,Viscose,Easy to clean,"Bordered , Plain",7.0,,India,Modern,,67063051f386a3a7f262610d
Asiatic Matrix MAX91 Statement Navy Geometric Hand Tufted Wool Rug,299.0,181.56,Save 39,Wool,Easy to clean,"Abstract , Geometric",1214.0,,India,"Handmade , Modern , Wool",,67063051f386a3a7f262610e
Asiatic Blade Border Putty Charcoal Plain Contemporary Hand woven Rug,329.0,194.82,Save 41,Viscose,Easy to clean,"Bordered , Plain",7.0,,India,Modern,,67063051f386a3a7f262610f
Asiatic Blade Border Sage Olive Plain Contemporary Hand woven Rug,329.0,194.82,Save 41,Viscose,Easy to clean,"Bordered , Plain",7.0,,India,Modern,,67063051f386a3a7f2626110
Asiatic Sketch SK25 Segment Multi Geometric Polypropylene Textured Rug,109.0,69.36,Save 36,Polypropylene,Easy to clean,Geometric,13.0,,Turkey,Modern,,67063051f386a3a7f2626111
Asiatic Sketch SK24 Segment Grey Geometric Polypropylene Textured Rug,69.0,40.8,Save 41,Polypropylene,Easy to clean,Geometric,13.0,,Turkey,Modern,,67063051f386a3a7f2626112
Asiatic Sketch SK23 Segment Earth Geometric Polypropylene Textured Rug,69.0,40.8,Save 41,Polypropylene,Easy to clean,Geometric,13.0,,Turkey,Modern,,67063051f386a3a7f2626113
Asiatic Sketch SK20 Kaleidoscope Pastel Geometric Polypropylene Textured Rug,69.0,40.8,Save 41,Polypropylene,Easy to clean,Geometric,13.0,,Turkey,Modern,,67063051f386a3a7f2626114
Asiatic Sketch SK17 Contour Grey Abstract Polypropylene Textured Rug,69.0,40.8,Save 41,Polypropylene,Easy to clean,Abstract,13.0,,Turkey,Modern,,67063051f386a3a7f2626115
Asiatic Sketch SK16 Curve Multi Geometric Polypropylene Textured Rug,69.0,40.8,Save 41,Polypropylene,Easy to clean,Geometric,13.0,,Turkey,Modern,,67063051f386a3a7f2626116
Asiatic Sketch SK21 Kaleidoscope Grey Geometric Polypropylene Textured Rug,69.0,40.8,Save 41,Polypropylene,Easy to clean,Geometric,13.0,,Turkey,Modern,,67063051f386a3a7f2626117
Asiatic Sketch SK15 Curve Ochre Geometric Polypropylene Textured Rug,69.0,40.8,Save 41,Polypropylene,Easy to clean,Geometric,13.0,,Turkey,Modern,,67063051f386a3a7f2626118
Asiatic Sketch SK22 Segment Blue Geometric Polypropylene Textured Rug,69.0,62.1,Save 10,Polypropylene,Easy to clean,Geometric,13.0,,Turkey,Modern,,67063051f386a3a7f2626119
Asiatic Sketch SK18 Contour Blue Abstract Polypropylene Textured Rug,109.0,69.36,Save 36,Polypropylene,Easy to clean,Abstract,13.0,,Turkey,Modern,,67063051f386a3a7f262611a
Asiatic Sketch SK19 Kaleidoscope Multi Geometric Polypropylene Textured Rug,69.0,40.8,Save 41,Polypropylene,Easy to clean,Geometric,13.0,,Turkey,Modern,,67063051f386a3a7f262611b
Asiatic Sketch SK14 Curve Blue Geometric Polypropylene Textured Rug,69.0,40.8,Save 41,Polypropylene,Easy to clean,Geometric,13.0,,Turkey,Modern,,67063051f386a3a7f262611c
Mehari 023-0600-4747 Shaggy Rug by Mastercraft,76.8,58.3,Save 24,Polypropylene,,Plain,25.0,3200,,"Modern , Shaggy",,67063051f386a3a7f262611d
Extravagance Rose Shaggy Rug by Origins,30.0,19.4,Save 35,Polyester,Easy to clean,Plain,75.0,2000,China,"Luxurious , Modern , Plain , Shaggy"," High-quality Rug! Perfect for Bedroom! Whole ordering experience was great! – One Happy Customer!  |  Really comfortable underfoot! The soft feel and texture make it totally worth the money!  |  Luxurious, Sumptuous, and Modern-looking! Apart from delayed delivery, happy with the whole ordering experience!  |  Affordable, soft and high quality! The rug totally complements the tone of my room! Would highly recommend!  |  Extremely lush and comfortable! The feel of this rug is just brilliant! – Happy with the purchase! ",67063052f386a3a7f262611e
Luxe Faux Fur Silver Plain Shaggy Rug by HMC,37.13,27.0,Save 27,Polyester,Easy to clean,Plain,30.0,,,"Modern , Plain , Shaggy"," Looks perfect under my coffee table! The material is very soft and cozy. A total value for money!  |  Exceptionally Luxurious and high-quality! Looks amazing in my bedroom! Would recommend it to anyone in a heartbeat.  |  This was amazing great rug and the price was great had discount . Would really recommend this is my third rug   |  Loving the feel of my room with this new shaggy rug! The delivery and customer support were perfect!  |  Sumptuous look and comfortable pile! It’s looking absolutely wonderful in my living room! Would highly recommend.  |  Cost-effective, plush appeal, and high quality! The rug totally complements the tone of my room! A must have!  |  Extremely shaggy and plush! The delivery was a bit delayed. Customer Service was good!  |  Great lush look and extremely comfortable! Apart from delayed delivery, happy with the whole ordering experience! ",67063052f386a3a7f262611f
Craft 23299 Black Gold Abstract Rug by Think Rugs,135.99,80.75,Save 41,"Polyester , Polypropylene",Easy to clean,Abstract,10.0,2000,Turkey,Modern," Stunning abstract design! The colour combination is really amazing! A must have rug!  |  Alluring colour and fascinating abstract design. Apart from delayed delivery, really happy with the purchase!
  |  The pattern and tone of this rug makes it a must buy! From order to delivery, everything was great! –One Happy Customer!  |  Absolutely eye-catching look! The material is soft to touch! Would highly recommend it to anyone!  |  Brilliant look! High-quality pile! Customer service was great! Would definitely buy again!
 ",67063052f386a3a7f2626120
Genuine Sheepskin Grey Rug by Origins,85.0,84.0,Save 1,Wool,Easy to clean,Plain,50.0,5500,China,"Luxurious , Shaggy , Wool"," Stunning sheepskin look and plush texture! The delivery and customer service were hassle-free! Brilliant purchase!  |  Great-quality, shaggy appeal and cost-effective! The delivery timing could have been better. Customer Service was good!  |  Absolutely shaggy look and uber-soft appeal! The rug totally complements the tone of my room! A must have!
  |  Amazing sheepskin rug and high-quality rug! The product quality is just amazing! Got an amazing deal on this one!
  |  Looking absolutely wonderful in on living room! Whole ordering experience was great! – Happy with the purchase! ",67063052f386a3a7f2626121
Mehari 023-0067-4727 Shaggy Rug by Mastercraft,76.8,58.3,Save 24,Polypropylene,,"Abstract , Plain , Striped",25.0,3200,,"Modern , Shaggy",,67063052f386a3a7f2626122
Nourison Celestial CES02 Ivory/Teal/Blue Rug,36.0,27.22,Save 24,Polypropylene,Easy to clean,"Abstract , Graphics",6.0,2438,Turkey,Modern," Amazing look, durable material and easy to maintain. From order to delivery, everything was handled by The Rug Shop UK perfectly!  |  The unique and vivid designs add a touch of divine beauty to my living space. I am impressed by the rich and saturated colors that breathe life into my home.  |  I am mesmerized by the energy and movement portrayed in each rug of the Nourison Celestial Collection. They create a heavenly ambiance in my room, making it feel like an artistic sanctuary. The Polypropylene fabric ensures durability and easy maintenance.  |  The dramatic and beautiful designs are really the center of attraction for my room, and the rich colors create a vibrant and dynamic atmosphere. Their comfort and durability make them a true treasure for my home.  |  I feel a deep sense of satisfaction with this rug of mine. Each pattern and its unique design resonate with my overall decor. The Polypropylene fabric not only ensures lasting durability but also makes cleaning a breeze.  |  The Nourison Celestial Rug Collection has brought an ethereal touch to my interior. The movement and energy depicted in each rug are captivating. I am thrilled with how these rugs effortlessly blend beauty and practicality.  |  Contemporary look, amazing design and easy to maintain. Got an amazing offer on it as well! – One Happy Customer!  |  A total chic look for my home! Both delivery and customer service were on-point. ",67063052f386a3a7f2626123
Havana 9574 Multi Rug by Think Rugs,70.99,47.33,Save 33,Polypropylene,Easy to clean,Floral,10.0,2000,,"Luxurious , Modern"," Alluring design, high-quality and soft texture. Customer service was okay. Delivery was a bit delayed.  |  Amazingly chic pattern and great-quality pile. Apart from a bit delay in delivery, everything was perfect.   |  Brilliant design, unique colour palette and affordable. Looks great in my living room. Would recommend.  |  Excellent look and high-quality pile. The whole ordering process was hassle-less.  |  Unique look and soft pile. The material is of high-quality and easy to maintain. Would recommend. ",67063052f386a3a7f2626124
Sisal Linen/Linen Natural Decorative Rug by Asiatic,109.0,89.99,Save 17,Natural Fibers,Easy to clean,"Bordered , Plain",4.0,1700,China,Plain," Excellent quality and good value.
  |  Quick service, Rug is nice looking with a few blemishes but OK for the price.  |  Amazing look, Great-quality and Affordable! From order to delivery everything was well handled by The Rug Shop UK. Would recommend!  |  Great Quality and Value for money! The ordering experience and customer service were great! Would recommend!  |  It looks perfect with my modern décor! Got an amazing discount on it as well! Happy with the purchase!  |  So far all the rugs I have purchased have been the same colour and description as their photos! Efficiently delivered  and a smooth transaction.  |  Great pre-sale service from Ryan, followed by quick delivery. Highly recommended and will definitely be ordering again.  |  Rug looks great, very happy with it ",67063052f386a3a7f2626125
Nova NV11 Antique Navy Rug by Asiatic,59.0,39.6,Save 33,Polypropylene,Easy to clean,Floral,9.0,2250,Turkey,Traditional," Stunning rug, great price & fast delivery. Have recommend this site to so many friends already
  |  Amazing floral look! Looks just gorgeous in my living room! The ordering experience and customer service were okay!  |  Exceptionally classy floral pattern! From order to deliver, everything was handled by The Rug Shop UK perfectly!  |  It has a perfect flat-pile look and chic floral design! Got an awesome deal on it as well! – One Happy Customer!  |  Extremely comfortable with fascinating pattern! Apart from delayed delivery, very happy with the purchase!  |  High-quality, amazing tone, and easy to maintain! Overall, the look is great! Brilliant purchase!
 ",67063052f386a3a7f2626126
POP! Outdoors Yellow Rug by Think Rugs,55.99,33.15,Save 41,Polypropylene,Easy to clean,Plain,2.0,,,"Modern , Outdoor",,67063052f386a3a7f2626127
Nuance Module 9209 Pink Rohe Flatweave Rug by Louis De Poortere,175.0,157.5,Save 10,Polyester,Professional Cleaning,Abstract,3.0,1500,Belgium,"Luxurious , Modern",,67063052f386a3a7f2626128
Royal Nomadic 7611 Grey Navy Shaggy Rug by Think Rugs,123.99,73.53,Save 41,Polypropylene,Easy to clean,Geometric,40.0,1535,,"Modern , Shaggy"," Great-quality shaggy rug! The delivery was late but the customer service helped me out.   |  A luxurious flooring option! The rug looks perfect. It doesn't shed as well. Would definitely buy again!   |  Amazingly lush with lavish texture! The whole ordering experience was great and hassle free!   |  I'm absolutely smitten with this shaggy rug. It's not just a rug; it's a luxurious cloud underfoot, and the colors infuse my room with warmth and elegance.  |  I'm really pleased with the grey navy shaggy rug from The Rug Shop UK's Royal Nomadic collection. It's both stylish and comfortable, adding a cozy touch to my room.  |  Gorgeously plush rug with amazing pattern! The material is really soft and of high-quality! Would recommend!   |  Luxuriously shaggy floor-covering option! The texture is just amazing! Would definitely buy again!  ",67063052f386a3a7f2626129
Nourison Vintage Kashan VKA04 IVMTC Rug,39.0,31.56,Save 19,Polypropylene,Easy to clean,Floral,4.0,,,"Luxurious , Traditional , Persian"," I'm delighted with my rug, packed well, delivery was quick, highly recommended.  |  The rug is a work of art for your floor. The vintage design and intricate detailing make it a standout piece in my home. It adds a touch of elegance and sophistication to any room. The quality is topnotch, and it's a rug that will surely last for years.  |  I highly recommend this rug to anyone looking for both style and functionality. The distressed look gives it character, and the ivory and earthy tones create a warm ambiance. The softness underfoot is an absolute bonus with ontime delivery by the Rug Shop UK.  |  Absolutely love the Vintage Kashan Rug! The traditional design and vibrant colors add a touch of elegance to my living room. It's so soft and comfortable to walk on, and the quality is topnotch. Highly recommend!  |  The Vintage Kashan Rug has completely transformed the look of my home. The intricate medallion design gives it a timeless appeal, and the colors are just beautiful. Plus, it's so easy to clean and maintain.  |  I couldn't be happier with my purchase of the Vintage Kashan Rug. The vintageinspired design is exactly what I was looking for, and the softness underfoot is a bonus. It's a great addition to my home decor!  |  I was a bit hesitant to buy a rug online, but the Vintage Kashan Rug exceeded my expectations. The quality is exceptional, and it looks even better in person. Delivered on time and wellpackaged.  |  Great-Quality rug! Affordable! Classy design! The whole ordering experience was great! ",67063052f386a3a7f262612a
Antiquarian Kilim 9115 Fez Red Flatweave Rug by Louis De Poortere,428.0,385.2,Save 10,"Cotton , Wool",Professional Cleaning,"Abstract , Geometric",3.0,1500,Belgium,"Modern , Wool"," Affordable, kilim look and high quality! The product quality is just amazing! Got an amazing deal on this one!  |  Luxurious, Classy-looking and perfect quality! The customer service and delivery were great! – One Happy Customer!  |  Gorgeous, kilim-look and affordable! The classy tone makes it complement my interior décor perfectly! Would definitely buy again!  |  It’s a must have kilim rug! From order to delivery, everything went smooth and hassle free! ",67063052f386a3a7f262612b
